member_id,age,country,balance,credit_card_score,personal_loan_score,investment_score,mobile_banking_score,premium_account_score,top_product,top_score
MEM_00000,42,France,0.0,0.9999948755253789,0.4596380191474462,0.34444861693873213,0.4686117022856275,0.26141595337210993,credit_card,0.9999948755253789
MEM_00001,41,Spain,83807.86,4.520936709472606e-06,0.38428574349728045,0.19941418058141738,0.6387870325825273,0.3085108087697322,mobile_banking,0.6387870325825273
MEM_00002,42,France,159660.8,0.9999950843354927,0.26237823265890714,0.6985466663613198,0.18805397191936818,0.3816620926600632,credit_card,0.9999950843354927
MEM_00003,39,France,0.0,5.51904170875302e-06,0.1464100201724634,0.33421916778693134,0.41169932592864317,0.19908011052990837,mobile_banking,0.41169932592864317
MEM_00004,43,Spain,125510.82,0.9999951218852554,0.12011629365239297,0.436733685873574,0.1577877049849859,0.23339680568667417,credit_card,0.9999951218852554
MEM_00005,44,Spain,113755.78,0.9999941099096261,0.412528795430635,0.3829906971548613,0.2619408495955956,0.5669848423756265,credit_card,0.9999941099096261
MEM_00006,50,France,0.0,0.999993722430473,0.6496542716125129,0.7154216454856384,0.38117217941864734,0.48902230618918313,credit_card,0.999993722430473
MEM_00007,29,Germany,115046.74,0.9999970423682912,0.14299858037892077,0.43437774945797025,0.6288550232270239,0.07479256252255032,credit_card,0.9999970423682912
MEM_00008,44,France,142051.07,5.065422056387911e-06,0.3401933605825019,0.40610189257891444,0.6044484122269073,0.4962507458751223,mobile_banking,0.6044484122269073
MEM_00009,27,France,134603.88,0.9999949625539758,0.17222746652873716,0.48971737978009056,0.7572547286097518,0.4081615343134516,credit_card,0.9999949625539758
MEM_00010,31,France,102016.72,5.206418706156612e-06,0.5957508924110422,0.18390190811944734,0.34811037171982,0.6281684740375172,premium_account,0.6281684740375172
MEM_00011,24,Spain,0.0,0.9999951214123557,0.20396460624492668,0.158579687497282,0.6044135826113246,0.1352651335909643,credit_card,0.9999951214123557
MEM_00012,34,France,0.0,0.9999948700536747,0.6325952773983787,0.1642732747178811,0.5084838527414348,0.2854419054547572,credit_card,0.9999948700536747
MEM_00013,25,France,0.0,4.711996036433892e-06,0.46225052243065406,0.06319522895060765,0.2137266248097944,0.4259519815055668,personal_loan,0.46225052243065406
MEM_00014,35,Spain,0.0,0.9999957095137533,0.670111354451608,0.4182065674970788,0.6498009281091507,0.423898477616036,credit_card,0.9999957095137533
MEM_00015,45,Germany,143129.41,6.079051005610757e-06,0.38490785171927167,0.6769621392739941,0.4221035181437243,0.44291484103901085,investment,0.6769621392739941
MEM_00016,58,Germany,132602.88,0.9999943265565491,0.09220356718723428,0.7011756399777345,0.05504260084773241,0.6533193317881467,credit_card,0.9999943265565491
MEM_00017,24,Spain,0.0,0.9999950746971004,0.4387869500607294,0.22181126123847703,0.7425733041976573,0.5514317034000638,credit_card,0.9999950746971004
MEM_00018,45,Spain,0.0,5.124029137592048e-06,0.5807625704972812,0.37208835705244503,0.29979455372660657,0.4487024045675847,personal_loan,0.5807625704972812
MEM_00019,24,France,0.0,0.999995452083098,0.5031678036200093,0.11083188600346916,0.7887086429461025,0.40976899802305655,credit_card,0.999995452083098
MEM_00020,41,France,0.0,0.9999948724044104,0.6005547255255561,0.4477936351046057,0.4805663432693046,0.25231214806510754,credit_card,0.9999948724044104
MEM_00021,32,Spain,0.0,0.9999951244501629,0.5703791258189311,0.49486038218785455,0.3399125607947003,0.40478302062791727,credit_card,0.9999951244501629
MEM_00022,38,Spain,0.0,0.9999945854132857,0.2657607428631547,0.22893957734823397,0.4206074934063778,0.21476048278002752,credit_card,0.9999945854132857
MEM_00023,46,France,0.0,5.76464279453574e-06,0.506091152968544,0.557026709505322,0.4892870135682555,0.17757101769615777,investment,0.557026709505322
MEM_00024,38,France,0.0,0.9999948538888961,0.18876372549686946,0.4820074120912422,0.6462832987827227,0.49556916895790876,credit_card,0.9999948538888961
MEM_00025,25,France,0.0,5.390531431633531e-06,0.35047233596643423,0.11498255267249063,0.5125550489780671,0.18038221063271734,mobile_banking,0.5125550489780671
MEM_00026,36,Germany,136815.64,0.9999944520035939,0.34468141999983676,0.6096947252669399,0.7014256903873947,0.7105354290343481,credit_card,0.9999944520035939
MEM_00027,44,France,0.0,5.149055667201372e-06,0.5016417067349191,0.2898017694189261,0.62472176686374,0.43763919224977205,mobile_banking,0.62472176686374
MEM_00028,43,Germany,141349.43,0.9999944549100063,0.4082448135578673,0.5303692718785417,0.614452288091104,0.5199369015752362,credit_card,0.9999944549100063
MEM_00029,29,France,59697.17,0.9999939110161484,0.7918801601594504,0.009844317217835926,0.6280444571237209,0.01288568870065609,credit_card,0.9999939110161484
MEM_00030,39,Spain,0.0,0.9999946926188369,0.2579471629541212,0.4074777168630734,0.1997468819244228,0.11821145155394047,credit_card,0.9999946926188369
MEM_00031,36,France,85311.7,3.99591052221224e-06,0.5152006511334797,0.3630962043521469,0.6843353203278482,0.5715834270029893,mobile_banking,0.6843353203278482
MEM_00032,41,Germany,110112.54,5.297566332973948e-06,0.6241670450309567,0.33939064400103003,0.14484202794499465,0.43978662369258914,personal_loan,0.6241670450309567
MEM_00033,42,Spain,0.0,0.9999952455207618,0.5258531576604029,0.2694198410319339,0.4820738969452748,0.40024904629752633,credit_card,0.9999952455207618
MEM_00034,29,Spain,0.0,0.9999950452419726,0.5238669370881325,0.4367342066884524,0.6308113565013931,0.39055390226566156,credit_card,0.9999950452419726
MEM_00035,45,France,134264.04,0.999994124150459,0.14207636398212015,0.4827227048544528,0.2856465017662735,0.26777063482244573,credit_card,0.999994124150459
MEM_00036,31,Spain,145260.23,5.164239997684117e-06,0.10589983322136591,0.22887839038707605,0.42617418513364624,0.3524186978169219,mobile_banking,0.42617418513364624
MEM_00037,33,Spain,76548.6,4.897028784169072e-06,0.6545402255122792,0.44027067781288765,0.6251435228104336,0.6275587676084826,personal_loan,0.6545402255122792
MEM_00038,36,France,0.0,0.9999944232207014,0.46878760832702754,0.3932862421656547,0.3845462261458127,0.6536463933996661,credit_card,0.9999944232207014
MEM_00039,41,Germany,70349.48,5.85028345945106e-06,0.3617050353701321,0.5505316017712254,0.5733609697007493,0.6283307450934634,premium_account,0.6283307450934634
MEM_00040,40,Spain,0.0,0.9999956089329246,0.16900747609174233,0.13328479181552674,0.2166960968004823,0.18047023347007077,credit_card,0.9999956089329246
MEM_00041,51,France,122522.32,4.721600833318183e-06,0.06767874286109768,0.6958470478421599,0.147642574507523,0.7257657435260069,premium_account,0.7257657435260069
MEM_00042,61,France,117419.35,0.9999942471699667,0.6491403699200065,0.34666364974064423,0.602885266037588,0.13122665292603838,credit_card,0.9999942471699667
MEM_00043,49,France,131394.56,4.729717114485155e-06,0.08525741817755543,0.3380612175724283,0.08335418180624386,0.19320990583264108,investment,0.3380612175724283
MEM_00044,61,Spain,155931.11,0.99999355694339,0.08400167352959813,0.4237852882856707,0.6408015483688673,0.4913643365580559,credit_card,0.99999355694339
MEM_00045,32,Germany,109421.13,0.9999942562692709,0.4410840183241128,0.4534257975071589,0.49639579003759926,0.32245504053313123,credit_card,0.9999942562692709
MEM_00046,27,Germany,112045.67,0.999994937272208,0.6723822134858841,0.7543986015019157,0.6727125607666766,0.8378307901872958,credit_card,0.999994937272208
MEM_00047,39,Germany,137843.8,0.9999949890786293,0.27321849421296934,0.7437763498483575,0.7410433058278545,0.6114482452383713,credit_card,0.9999949890786293
MEM_00048,38,Germany,103391.38,5.009547088884286e-06,0.22802443775477832,0.4991867243819076,0.5339088499008074,0.23978870972963615,mobile_banking,0.5339088499008074
